2026-08-18 21:05:53,444 [INFO] 🚀 워커 봇 시작됨 (ID: worker_86a4afbf) - 16단계 상태머신 기반 KIS 001x 통신 대기 중...
2026-08-18 21:06:43,552 [ERROR] 계좌 정보 로드 실패 (portfolio: SATELLITE): No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\user\.streamlit\secrets.toml, C:\Users\user\quant-dashboard\.streamlit\secrets.toml
2026-08-18 21:06:44,567 [ERROR] 계좌 정보 로드 실패 (portfolio: CORE): No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\user\.streamlit\secrets.toml, C:\Users\user\quant-dashboard\.streamlit\secrets.toml
2026-08-18 21:06:44,568 [ERROR] 계좌 정보 로드 실패 (portfolio: SATELLITE): No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\user\.streamlit\secrets.toml, C:\Users\user\quant-dashboard\.streamlit\secrets.toml
2026-08-18 21:06:45,575 [ERROR] 계좌 정보 로드 실패 (portfolio: CORE): No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\user\.streamlit\secrets.toml, C:\Users\user\quant-dashboard\.streamlit\secrets.toml
2026-08-18 21:06:45,576 [ERROR] 계좌 정보 로드 실패 (portfolio: SATELLITE): No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\user\.streamlit\secrets.toml, C:\Users\user\quant-dashboard\.streamlit\secrets.toml
2026-08-18 21:06:46,588 [ERROR] 계좌 정보 로드 실패 (portfolio: CORE): No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\user\.streamlit\secrets.toml, C:\Users\user\quant-dashboard\.streamlit\secrets.toml
2026-08-18 21:06:46,589 [ERROR] 계좌 정보 로드 실패 (portfolio: SATELLITE): No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\user\.streamlit\secrets.toml, C:\Users\user\quant-dashboard\.streamlit\secrets.toml
2026-08-18 21:06:47,599 [ERROR] 계좌 정보 로드 실패 (portfolio: CORE): No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\user\.streamlit\secrets.toml, C:\Users\user\quant-dashboard\.streamlit\secrets.toml
2026-08-18 21:06:47,600 [ERROR] 계좌 정보 로드 실패 (portfolio: SATELLITE): No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\user\.streamlit\secrets.toml, C:\Users\user\quant-dashboard\.streamlit\secrets.toml
2026-08-18 21:06:48,610 [ERROR] 계좌 정보 로드 실패 (portfolio: CORE): No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\user\.streamlit\secrets.toml, C:\Users\user\quant-dashboard\.streamlit\secrets.toml
2026-08-18 21:06:48,611 [ERROR] 계좌 정보 로드 실패 (portfolio: SATELLITE): No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\user\.streamlit\secrets.toml, C:\Users\user\quant-dashboard\.streamlit\secrets.toml
2026-08-18 21:06:49,622 [ERROR] 계좌 정보 로드 실패 (portfolio: CORE): No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\user\.streamlit\secrets.toml, C:\Users\user\quant-dashboard\.streamlit\secrets.toml
2026-08-18 21:06:49,623 [ERROR] 계좌 정보 로드 실패 (portfolio: SATELLITE): No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\user\.streamlit\secrets.toml, C:\Users\user\quant-dashboard\.streamlit\secrets.toml
